	D1	D2	D3	D4	C1	C2	C3	C4
GENE0133	16	25	23	23	17	24	19	19
GENE0134	20	22	21	20	25	22	24	23
GENE0135	25	19	19	17	22	20	22	20
GENE0136	18	24	24	25	19	18	20	17
GENE0137	22	21	22	22	23	23	18	25
GENE0138	15	18	20	19	20	21	23	22
GENE0139	21	23	18	23	17	19	21	19
GENE0140	24	20	23	20	25	24	19	23
GENE0141	17	17	21	17	22	22	24	20
GENE0142	23	25	19	25	19	20	22	17
GENE0143	16	22	24	22	23	17	20	25
GENE0144	20	19	22	19	20	25	18	22
GENE0145	25	24	20	23	17	23	23	19
GENE0146	18	21	18	20	25	21	21	23
GENE0147	22	18	23	17	22	19	19	20
GENE0148	15	23	21	25	19	24	24	17
GENE0149	21	20	19	22	23	22	22	25
GENE0150	24	17	24	19	20	20	20	22
GENE0151	17	25	22	23	17	18	18	19
GENE0152	23	22	20	20	25	23	23	23
GENE0153	16	19	18	17	22	21	21	20
GENE0154	20	24	23	25	19	19	19	17
GENE0155	25	21	21	22	23	24	24	25
GENE0156	18	18	19	19	20	22	22	22
GENE0157	22	23	24	23	17	20	20	19
GENE0158	15	20	22	20	25	17	18	23
GENE0159	21	17	20	17	22	25	23	20
GENE0160	24	25	18	25	19	23	21	17
GENE0161	17	22	23	22	23	21	19	25
GENE0162	23	19	21	19	20	19	24	22
GENE0163	16	24	19	23	17	24	22	19
GENE0164	20	21	24	20	25	22	20	23
GENE0165	25	18	22	17	22	20	18	20
GENE0166	18	23	20	25	19	18	23	17
GENE0167	22	20	18	22	23	23	21	25
GENE0168	15	17	23	19	20	21	19	22
GENE0169	21	25	21	23	17	19	24	19
GENE0170	24	22	19	20	25	24	22	23
GENE0171	17	19	24	17	22	22	20	20
GENE0172	23	24	22	25	19	20	18	17
GENE0173	16	21	20	22	23	17	23	25
GENE0174	20	18	18	19	20	25	21	22
GENE0175	25	23	23	23	17	23	19	19
