gene	D1	D2	D3	D4	C1	C2	C3	C4
GENE0050	61	92	114	55	72	66	40	78
GENE0051	40	43	45	48	42	46	38	43
GENE0052	20	27	43	40	32	40	38	29
GENE0053	39	57	40	64	62	62	74	63
GENE0054	64	82	77	55	60	51	71	69
GENE0055	55	79	60	83	57	79	63	86
GENE0056	81	60	74	46	70	77	58	40
GENE0057	28	38	20	57	45	42	24	35
GENE0058	53	31	32	20	23	48	43	25
GENE0059	81	91	83	86	77	102	95	115
GENE0060	94	65	77	99	60	87	62	110
GENE0061	91	78	116	98	63	108	71	85
GENE0062	104	103	75	109	88	86	92	79
GENE0063	80	78	69	66	85	92	83	72
GENE0064	37	18	25	30	21	32	30	16
GENE0065	79	101	91	78	73	70	87	66
GENE0066	120	68	83	114	86	78	105	80
GENE0067	66	50	70	55	46	47	50	40
GENE0068	57	53	59	58	57	64	90	58
GENE0069	102	93	104	90	81	74	94	75
GENE0070	29	30	31	24	28	22	30	37
GENE0071	71	58	63	72	47	65	51	77
GENE0072	96	77	50	77	69	90	80	73
GENE0073	100	93	85	111	75	106	90	74
GENE0074	72	89	65	90	63	70	65	79
GENE0075	20	34	29	24	28	16	40	43
GENE0076	49	50	15	36	29	36	44	28
GENE0077	55	65	53	50	43	35	46	59
GENE0078	34	36	11	21	20	39	17	21
GENE0079	54	74	85	67	73	58	77	81
GENE0080	24	25	27	19	25	14	24	16
GENE0081	31	46	47	29	56	42	64	50
GENE0082	64	43	72	42	30	44	46	55
GENE0083	94	48	71	106	86	72	94	68
GENE0084	42	61	64	48	67	54	55	62
GENE0085	78	86	58	54	56	46	59	72
GENE0086	87	84	98	111	85	97	78	75
GENE0087	50	46	44	48	46	41	26	34
GENE0088	69	63	60	61	73	49	55	64
GENE0089	87	82	98	64	81	82	97	70
GENE0090	33	34	33	36	51	43	54	42
GENE0091	73	76	70	74	69	75	82	64
GENE0092	92	89	88	90	103	65	69	79
GENE0093	35	30	34	34	37	33	27	35
GENE0094	77	73	82	89	89	91	99	82
GENE0095	49	23	39	37	39	25	53	45
GENE0096	90	98	89	72	81	87	87	65
GENE0097	28	20	20	23	18	13	15	26
GENE0098	15	20	23	14	23	38	13	40
GENE0099	67	43	87	76	77	73	81	50
GENE0100	61	31	30	25	32	47	31	48
GENE0101	47	51	72	62	58	77	69	74
GENE0102	61	47	55	50	60	54	58	65
GENE0103	92	91	66	99	99	89	85	84
GENE0104	78	67	90	83	98	68	86	96
GENE0105	97	111	109	89	100	88	106	115
GENE0106	71	98	75	78	102	89	82	68
GENE0107	56	51	62	68	79	77	43	65
GENE0108	30	20	22	35	26	23	28	25
GENE0109	14	10	23	25	14	15	17	16
GENE0110	42	24	36	39	40	38	27	27
GENE0111	88	87	93	82	102	94	85	95
GENE0112	16	13	26	10	12	26	26	20
GENE0113	59	40	59	44	42	49	64	47
GENE0114	40	31	36	41	35	35	35	18
GENE0115	119	89	79	79	94	91	92	88
GENE0116	41	47	44	62	65	64	45	49
GENE0117	81	98	97	66	91	96	106	84
GENE0118	14	28	4	19	14	24	29	23
GENE0119	31	34	46	41	38	37	39	21
GENE0120	70	89	85	71	85	102	79	68
GENE0121	51	44	79	44	49	53	42	59
GENE0122	70	88	71	67	56	65	61	38
GENE0123	17	34	30	38	30	40	32	41
GENE0124	87	65	47	53	59	60	44	82
GENE0125	39	34	44	38	21	32	41	39
GENE0126	24	37	24	45	37	41	30	31
GENE0127	108	102	68	106	109	103	76	64
GENE0128	51	43	51	61	58	36	49	59
GENE0129	89	76	58	77	73	62	87	81
GENE0130	64	62	53	62	37	65	59	48
GENE0131	60	61	57	49	47	55	58	71
GENE0132	58	52	45	58	61	59	65	54
GENE0133	33	50	26	35	30	30	33	28
GENE0134	44	56	58	60	61	43	78	54
GENE0135	26	25	34	22	35	30	47	31
GENE0136	96	80	104	78	110	81	71	80
GENE0137	24	20	27	25	34	43	42	44
GENE0138	100	100	76	100	103	96	112	79
GENE0139	19	5	35	21	42	27	35	25
GENE0140	19	14	31	29	39	34	33	35
GENE0141	48	48	61	54	38	49	73	60
GENE0142	60	96	76	78	98	73	86	62
GENE0143	103	88	76	66	82	91	68	87
GENE0144	51	23	54	40	41	30	49	33
GENE0145	91	121	66	84	75	97	77	95
GENE0146	104	96	87	98	94	88	81	57
GENE0147	84	65	77	81	95	70	90	62
GENE0148	89	88	75	91	87	116	69	80
GENE0149	81	65	72	72	85	79	65	78
GENE0150	27	35	51	48	50	50	53	33
GENE0151	62	61	48	63	52	54	48	74
GENE0152	59	60	64	57	52	49	67	72
GENE0153	34	16	27	38	26	27	10	24
GENE0154	9	21	23	23	24	18	27	17
GENE0155	21	17	12	30	16	16	8	16
GENE0156	22	26	38	33	24	33	27	32
GENE0157	36	31	20	23	49	41	31	35
GENE0158	63	71	49	48	40	45	47	47
GENE0159	44	26	30	31	20	32	27	25
GENE0160	116	103	90	89	56	120	82	101
GENE0161	15	25	17	26	21	33	21	23
GENE0162	90	97	78	82	96	91	108	95
GENE0163	90	103	86	85	83	90	94	89
GENE0164	47	48	52	48	63	42	38	44
GENE0165	14	19	24	8	16	15	16	16
GENE0166	82	70	89	68	85	56	70	95
GENE0167	41	51	47	56	49	50	34	49
GENE0168	46	42	35	54	41	30	23	29
GENE0169	61	71	61	74	78	63	73	71
GENE0170	24	25	27	20	27	22	38	14
GENE0171	45	84	65	76	74	76	65	69
GENE0172	62	93	114	93	77	72	88	89
GENE0173	94	55	65	67	70	60	75	54
GENE0174	43	52	80	66	64	66	61	62
GENE0175	74	56	64	55	62	85	69	56
GENE0176	23	44	48	42	24	40	26	32
GENE0177	52	72	55	77	71	65	62	56
GENE0178	56	83	50	63	62	53	71	42
GENE0179	64	77	98	73	77	66	58	67
GENE0180	115	81	90	80	93	108	104	89
GENE0181	17	14	13	34	37	27	21	15
GENE0182	27	26	22	25	27	33	25	27
GENE0183	62	47	59	61	52	67	67	68
GENE0184	46	64	62	65	56	33	43	62
GENE0185	58	53	50	53	51	94	65	46
GENE0186	20	23	23	12	20	27	28	30
GENE0187	90	42	93	60	76	68	84	54
GENE0188	35	20	22	31	28	17	25	23
GENE0189	36	24	32	34	22	13	22	22
